0.15750004;0.14858538;
0.18570003;0.14780435;
0.17950006;0.14777002;
0.16380003;0.15521011;
0.15040006;0.18792641;
0.20430002;0.19073278;
0.18510003;0.18693334;
0.21350004;0.18684505;
0.19170000;0.19599906;
0.18970001;0.21041405;
0.19380003;0.20397036;
0.19520003;0.22567806;
0.21350004;0.23784918;
0.22599995;0.21458636;
0.19680004;0.22863507;
0.20300007;0.23413269;
0.24770002;0.23195633;
0.22510006;0.18642297;
0.32290006;0.28584093;
0.15420003;0.22176264;
0.19539998;0.18617734;
0.17310004;0.22083668;
0.15810005;0.23156102;
0.20820010;0.21716507;
0.26070002;0.26841781;
0.18220003;0.26101249;
0.32099998;0.26985347;
0.35890004;0.27424005;
0.28970006;0.24895543;
0.18900004;0.25731066;
0.24340005;0.24432111;
0.30829999;0.28309697;
0.26060000;0.23058744;
0.16590001;0.17707705;
0.36160007;0.26530761;
0.21720001;0.21450907;
0.15570006;0.20286404;
0.12520000;0.20906973;
0.22320010;0.21632338;
0.28980008;0.21846336;
0.16290002;0.20958498;
0.17160006;0.19826204;
0.21030010;0.19202738;
0.22620003;0.22177376;
0.18010005;0.19119795;
0.20760004;0.21407102;
0.21869999;0.22320837;
0.18900011;0.20471236;
0.15390003;0.22072728;
0.15500003;0.18400805;
0.18680009;0.18515207;
0.23160008;0.17161469;
0.22260007;0.19888502;
0.15580001;0.17067064;
0.18870002;0.18248464;
0.17610000;0.19767137;
0.22370006;0.18271104;
0.15310001;0.17691575;
0.20500004;0.18915407;
0.22960003;0.19171676;
0.22380003;0.20762025;
0.18490003;0.18170936;
0.18850002;0.17526568;
0.19450003;0.17643401;
0.13360003;0.17557201;
0.24310002;0.19608597;
0.22090006;0.18091401;
0.23860003;0.22440363;
0.21559997;0.21780650;
0.24940006;0.20540303;
0.20020002;0.21166576;
0.16460003;0.21702866;
0.20830007;0.19552380;
0.20830004;0.20149542;
0.16290002;0.20158242;
0.17670003;0.18413514;
0.18700001;0.20006834;
0.21100010;0.18632908;
0.21990009;0.16073830;
0.16230004;0.16668732;
0.17060001;0.16823441;
0.19940001;0.19286001;
0.14869998;0.15621701;
0.16290002;0.16627473;
0.22360000;0.16630672;
0.24240009;0.23715101;
0.28450009;0.22808377;
0.22000000;0.23238507;
0.13670003;0.21793376;
0.15019998;0.21753110;
0.14520003;0.21755543;
0.13550001;0.21724243;
0.15990004;0.21652912;
0.25700006;0.21253611;
0.23289999;0.21028905;
0.17210001;0.17460364;
0.22040005;0.17895666;
0.17870003;0.17162567;
0.16420002;0.18830791;
0.13430001;0.18904196;
0.23330003;0.20613210;
0.21840002;0.20241338;
0.20180002;0.20052600;
0.16860002;0.20818865;
0.25290009;0.17960966;
0.22300006;0.17998399;
0.16730000;0.17972246;
0.21550006;0.21919680;
0.18879993;0.20850000;
0.23000002;0.22715406;
0.24990000;0.23239878;
0.24580006;0.18640842;
0.27030003;0.22228497;
0.22329997;0.20705774;
0.19560002;0.22474310;
0.17690000;0.22498576;
0.24540004;0.22475711;
0.23560001;0.22484912;
0.24430004;0.26682705;
0.26429999;0.24156298;
0.19030000;0.22898296;
0.25160006;0.24084541;
0.22560009;0.23940173;
0.20930004;0.23591904;
0.20140009;0.22229648;
0.27470002;0.24218582;
0.21140002;0.25958946;
0.17670006;0.23093173;
0.21300004;0.25070634;
0.32809997;0.26435217;
0.22400002;0.27815637;
